column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
EPS (Quarter),96.14,91.84,102.28,79.27,94.81,83.26,80.28,77.93,44.76,45.78,55.34,36.8,31.92,16.34,66.18,77.77,69.85,64.86,66.19,71.99,69.61,60.68,60.0,68.82,287.22,274.71,269.39,293.68,274.65,240.38,253.17,282.98,262.31,235.21,249.03,246.68,259.94,235.47,240.57,239.17,214.52,205.4,206.12,223.45,181.13,181.08,171.59,188.58,147.78,142.89,132.17,390.41,189.69,175.79,174.42,162.76,146.78,143.87,139.44,139.54,115.28,114.43,114.33,0.0,BBRI
PE Ratio (Quarter),54.35,59.07,46.25,62.32,47.36,49.84,58.05,52.74,86.01,86.06,79.51,113.32,95.24,185.43,45.63,56.58,58.98,67.22,62.25,50.84,45.25,46.8,60.0,52.89,53.18,55.52,48.17,39.75,44.41,44.92,45.12,40.37,32.98,43.99,53.3,47.22,40.1,43.86,39.8,30.32,33.81,37.73,42.44,31.1,41.14,35.07,40.5,35.79,39.57,45.48,43.5,26.88,52.74,52.89,47.31,46.98,51.12,43.82,30.14,32.84,46.86,44.61,55.14,0.0,BBRI
Price to Sales (Quarter),16.37,18.17,15.93,19.14,16.93,14.98,17.88,15.57,15.58,13.25,14.92,9.98,12.07,14.11,11.34,16.52,15.86,17.03,16.57,14.9,13.04,12.37,16.22,16.32,13.83,14.1,12.67,11.56,12.34,10.81,12.08,12.75,9.79,12.34,15.69,13.89,13.26,14.21,13.81,10.29,11.88,13.98,16.16,13.24,15.06,12.65,14.21,14.79,10.91,13.18,12.31,8.6,12.14,11.6,10.69,10.03,10.27,9.03,6.23,7.23,9.42,9.26,12.09,0.0,BBRI
EBITDA (Quarter),19814960000000.0,18639320000000.0,20930920000000.0,16129890000000.0,19819540000000.0,16576680000000.0,16139300000000.0,9855510000000.0,14654850000000.0,8707330000000.0,10999880000000.0,9504640000000.0,5779590000000.0,6215930000000.0,10553530000000.0,12839120000000.0,11591300000000.0,10160800000000.0,10574350000000.0,12468350000000.0,11838070000000.0,9739030000000.0,9545750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBRI
Return on Assets (Quarter),0.0079,0.0077,0.0085,0.0064,0.0085,0.0076,0.0074,0.006999999999999999,0.0042,0.0039000000000000003,0.0048,0.003,0.0027,0.0015,0.006,0.0068000000000000005,0.006600000000000001,0.0062,0.0064,0.0068000000000000005,0.0073,0.006500000000000001,0.006600000000000001,0.0075,0.0068000000000000005,0.006600000000000001,0.0067,0.0072,0.0073,0.006500000000000001,0.0072,0.0079,0.008100000000000001,0.0075,0.0076,0.0076,0.0091,0.009000000000000001,0.0096,0.0094,0.009000000000000001,0.0091,0.0096,0.01,0.009300000000000001,0.0094,0.0096,0.0099,0.0091,0.009300000000000001,0.0087,0.011899999999999999,0.0072,0.0067,0.006999999999999999,0.0063,0.006600000000000001,0.006600000000000001,0.0069,0.006999999999999999,0.006500000000000001,0.006500000000000001,0.006999999999999999,0.0,BBRI
Return on Equity (Quarter),0.0475,0.047400000000000005,0.055400000000000005,0.0401,0.048499999999999995,0.0447,0.0447,0.0409,0.0245,0.028700000000000003,0.0356,0.023,0.020499999999999997,0.010900000000000002,0.046,0.04650000000000001,0.0437,0.0424,0.0424,0.048499999999999995,0.0495,0.0454,0.046200000000000005,0.0509,0.044800000000000006,0.0451,0.0463,0.0495,0.04820000000000001,0.044500000000000005,0.0555,0.061900000000000004,0.0602,0.056900000000000006,0.064,0.062400000000000004,0.0702,0.0684,0.0752,0.0745,0.0719,0.0739,0.0788,0.0851,0.0747,0.08109999999999999,0.0776,0.0935,0.08109999999999999,0.0853,0.081,0.1313,0.07150000000000001,0.071,0.07110000000000001,0.0736,0.0701,0.0679,0.07110000000000001,0.07690000000000001,0.069,0.0734,0.0677,0.0,BBRI
Return on Capital Employed (Quarter),0.010400000000000001,0.0097,0.0106,0.0087,0.0106,0.0096,0.0092,0.0077,0.006500000000000001,0.0058,0.0069,0.0063,0.0034999999999999996,0.0039000000000000003,0.0073,0.0091,0.0086,0.0076,0.0079,0.0095,0.0098,0.008199999999999999,0.008100000000000001,0.011200000000000002,0.008199999999999999,0.008100000000000001,0.008,0.0121,0.008100000000000001,0.0086,0.008199999999999999,0.010900000000000002,0.0092,0.0086,0.0091,0.010700000000000001,0.0097,0.011000000000000001,0.011000000000000001,0.013600000000000001,0.010700000000000001,0.0108,0.0108,0.013500000000000002,0.011200000000000002,0.011399999999999999,0.0113,0.0115,0.0121,0.0105,0.0099,0.016,0.0092,0.008,0.0098,0.0086,0.0043,0.0096,0.0095,0.0089,0.0101,0.0098,0.0203,0.0,BBRI
Interest Coverage (Quarter),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBRI
Share Outstanding,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,100800000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,20160000000.0,0.0,TLKM
EPS (Quarter),68.07,63.92,64.85,42.11,33.02,72.6,61.76,59.44,64.82,64.98,60.71,41.64,57.44,51.76,59.17,22.25,54.32,49.0,62.83,38.36,55.86,29.4,56.88,41.89,57.72,53.73,66.35,45.83,47.68,52.97,45.51,39.13,40.65,36.04,37.84,31.67,40.03,37.32,36.2,31.23,39.01,180.95,172.47,141.32,177.23,154.07,164.78,127.97,121.3,154.34,140.29,184.21,203.06,213.12,186.83,158.17,225.25,242.58,166.47,126.84,176.58,203.34,221.08,0.0,TLKM
PE Ratio (Quarter),55.09,62.58,62.61,89.05,135.07,55.1,74.16,67.97,56.93,48.48,56.33,79.49,44.57,58.93,53.41,178.43,79.34,84.49,62.87,97.76,65.16,127.55,63.29,105.99,81.08,84.12,62.25,86.84,90.39,75.14,73.06,79.35,65.07,81.3,76.37,90.46,72.82,66.05,61.19,68.84,53.83,62.17,63.78,64.04,53.32,52.9,42.48,55.09,62.65,47.62,52.39,43.16,45.31,36.13,43.09,59.75,38.4,30.92,45.35,54.4,40.49,35.9,43.65,0.0,TLKM
Price to Sales (Quarter),9.84,10.6,11.14,9.67,11.98,10.77,12.89,10.77,10.0,8.78,9.98,8.98,7.67,9.25,9.15,11.94,12.83,11.89,11.23,11.76,10.35,11.8,11.22,14.32,14.3,13.81,13.42,13.31,14.61,13.88,12.17,11.7,9.92,11.71,12.34,12.11,13.18,11.15,10.51,10.1,9.92,11.0,11.34,9.0,9.46,8.68,7.93,7.81,8.24,8.35,8.87,9.71,10.37,8.79,9.78,10.45,10.17,9.06,9.85,8.22,9.39,9.28,12.3,0.0,TLKM
EBITDA (Quarter),20096000000000.0,19655000000000.0,19312000000000.0,16245000000000.0,16669000000000.0,21335000000000.0,18587000000000.0,20895000000000.0,20171000000000.0,19328000000000.0,18985000000000.0,18348000000000.0,17869000000000.0,17008000000000.0,19172000000000.0,14859000000000.0,17036000000000.0,16006000000000.0,17671000000000.0,14936000000000.0,16884000000000.0,12180000000000.0,16251000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TLKM
Return on Assets (Quarter),0.0244,0.021800000000000003,0.023100000000000002,0.0152,0.0121,0.026099999999999998,0.0219,0.0212,0.026000000000000002,0.0244,0.0233,0.0167,0.0244,0.020800000000000003,0.0242,0.01,0.025,0.0225,0.028399999999999998,0.0184,0.027000000000000003,0.0147,0.0278,0.0213,0.0305,0.0305,0.0357,0.0257,0.0271,0.0311,0.0259,0.023700000000000002,0.0259,0.0236,0.026000000000000002,0.0227,0.0292,0.028900000000000002,0.027999999999999997,0.0246,0.0326,0.0327,0.029900000000000003,0.0256,0.0339,0.030600000000000002,0.0318,0.025,0.0246,0.031200000000000002,0.0281,0.037200000000000004,0.0409,0.0434,0.039,0.0327,0.0477,0.0519,0.0368,0.027999999999999997,0.0414,0.0477,0.0545,0.0,TLKM
Return on Equity (Quarter),0.0516,0.051100000000000007,0.047400000000000005,0.0323,0.0265,0.059800000000000006,0.0479,0.0484,0.0613,0.0654,0.055400000000000005,0.0402,0.0559,0.0534,0.055099999999999996,0.0221,0.054000000000000006,0.0517,0.0592,0.0384,0.0611,0.0349,0.0582,0.0455,0.0641,0.0638,0.0734,0.0547,0.0575,0.0677,0.0576,0.0525,0.0579,0.0546,0.0533,0.0471,0.0625,0.0622,0.056900000000000006,0.052000000000000005,0.06860000000000001,0.0716,0.0632,0.0553,0.0733,0.0684,0.0669,0.0543,0.053200000000000004,0.0704,0.0599,0.0836,0.0958,0.10779999999999999,0.0901,0.0818,0.1211,0.1434,0.09119999999999999,0.0745,0.1092,0.1349,0.1235,0.0,TLKM
Return on Capital Employed (Quarter),0.059699999999999996,0.056799999999999996,0.0547,0.0391,0.042800000000000005,0.0604,0.050800000000000005,0.058300000000000005,0.0723,0.0665,0.0644,0.0604,0.065,0.0608,0.07,0.0552,0.0694,0.0616,0.0735,0.059699999999999996,0.0748,0.046900000000000004,0.0695,0.0555,0.08259999999999999,0.0791,0.08710000000000001,0.0645,0.0776,0.0767,0.0712,0.066,0.0727,0.06570000000000001,0.0668,0.0677,0.0779,0.0709,0.0684,0.0675,0.0825,0.0797,0.0753,0.0758,0.08800000000000001,0.0757,0.076,0.0679,0.068,0.0745,0.06730000000000001,0.0683,0.0824,0.0868,0.0776,0.071,0.10210000000000001,0.1116,0.0788,0.0604,0.0817,0.10310000000000001,0.2054,0.0,TLKM
Interest Coverage (Quarter),9.83,9.9,10.63,7.82,8.18,12.23,11.23,11.52,9.6,11.0,11.91,9.87,9.42,9.39,9.82,8.76,9.62,9.66,12.08,10.59,10.7,8.2,16.04,12.62,15.57,15.39,20.28,10.64,15.5,19.43,12.43,10.24,13.56,13.68,16.81,15.06,16.89,15.28,17.85,16.87,17.75,19.08,20.83,5.29,24.84,21.19,22.37,12.6,13.46,14.26,13.38,2.76,6.26,13.46,11.03,9.43,12.53,16.91,9.92,6.48,10.99,19.76,25.08,18.46,TLKM
Share Outstanding,93330000000.0,93330000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,23330000000.0,21000000000.0,20980000000.0,20980000000.0,20970000000.0,20970000000.0,20960000000.0,20960000000.0,20910000000.0,20910000000.0,20910000000.0,20910000000.0,20750000000.0,20750000000.0,BMRI
EPS (Quarter),148.2,135.77,269.15,225.38,223.79,218.09,214.96,188.55,144.17,141.06,126.82,66.24,80.04,50.94,169.63,154.97,143.99,134.95,154.99,148.35,126.72,135.39,125.57,119.37,120.13,230.74,174.81,76.86,211.41,139.86,163.58,246.53,199.63,205.12,220.21,232.22,208.63,199.75,211.05,231.44,193.26,171.03,184.43,187.91,170.25,160.46,145.83,131.72,122.13,108.98,162.0,138.62,114.16,97.43,96.28,121.81,81.11,73.23,67.42,65.04,64.35,58.39,66.98,209.52,BMRI
PE Ratio (Quarter),40.65,38.3,38.36,44.04,42.12,36.34,36.75,37.26,42.66,41.83,48.49,95.49,61.97,97.17,27.59,49.53,48.44,59.47,48.07,49.71,53.07,50.59,61.12,67.02,55.98,55.26,66.93,150.61,52.98,68.11,62.97,37.52,39.7,49.0,56.66,46.4,48.3,48.69,44.78,33.92,41.14,52.62,54.22,43.11,48.16,44.87,46.97,51.25,51.58,66.07,41.98,46.11,62.02,60.56,54.65,37.94,56.98,42.63,31.74,30.63,40.5,43.81,46.25,16.43,BMRI
Price to Sales (Quarter),14.96,13.31,13.99,13.39,13.92,11.97,12.42,10.74,10.43,10.26,10.36,11.98,9.35,9.63,8.14,13.38,12.47,14.92,14.1,14.41,13.43,14.39,16.38,16.42,13.76,13.33,12.43,12.47,11.35,10.71,11.64,10.21,9.08,11.71,14.87,12.79,12.39,13.14,13.7,11.57,13.02,15.54,17.85,14.99,15.48,14.18,14.02,13.89,13.8,15.89,15.91,14.15,16.06,15.12,13.74,11.76,12.49,8.14,5.22,5.0,7.98,8.86,10.47,2.98,BMRI
EBITDA (Quarter),19863220000000.0,18294160000000.0,18298560000000.0,15393490000000.0,15567570000000.0,15160980000000.0,14559690000000.0,11847040000000.0,10390520000000.0,10151830000000.0,9608770000000.0,5479640000000.0,5965250000000.0,4391430000000.0005,11273670000000.0,10494670000000.0,9329120000000.0,8733969999999.999,9953170000000.0,10757680000000.0,8336889999999.999,8469850000000.0,8158660000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BMRI
Return on Assets (Quarter),0.0069,0.006500000000000001,0.006600000000000001,0.0053,0.005699999999999999,0.005699999999999999,0.0058,0.0051,0.0040999999999999995,0.0042,0.0037,0.002,0.0027,0.0017000000000000001,0.006,0.0055000000000000005,0.0053,0.0051,0.006,0.0058,0.005,0.0055000000000000005,0.0053,0.005,0.005200000000000001,0.005,0.0039000000000000003,0.0017000000000000001,0.0051,0.0034000000000000002,0.0042,0.0063,0.0051,0.005200000000000001,0.0059,0.0063,0.0061,0.0061,0.0068000000000000005,0.0074,0.0064,0.0059,0.0067,0.0069,0.0068000000000000005,0.006500000000000001,0.0062,0.005600000000000001,0.005699999999999999,0.0054,0.008100000000000001,0.006500000000000001,0.0059,0.0051,0.0051,0.006500000000000001,0.0046,0.0043,0.0040999999999999995,0.0038,0.0042,0.004,0.0046,0.013600000000000001,BMRI
Return on Equity (Quarter),0.056799999999999996,0.054900000000000004,0.057699999999999994,0.0458,0.0492,0.050199999999999995,0.0514,0.043,0.034300000000000004,0.0348,0.0326,0.0163,0.0202,0.013300000000000001,0.045599999999999995,0.0353,0.0342,0.0339,0.0381,0.0382,0.0342,0.0379,0.0361,0.0334,0.0348,0.0348,0.0273,0.011899999999999999,0.032799999999999996,0.0225,0.0329,0.049100000000000005,0.042,0.0446,0.049800000000000004,0.05280000000000001,0.050199999999999995,0.050499999999999996,0.0563,0.0618,0.055099999999999996,0.0514,0.0546,0.0588,0.0565,0.0565,0.0521,0.0497,0.0484,0.0455,0.0664,0.0701,0.061399999999999996,0.055999999999999994,0.054900000000000004,0.0728,0.0514,0.0488,0.0441,0.0446,0.0463,0.044000000000000004,0.0455,0.1487,BMRI
Return on Capital Employed (Quarter),0.0095,0.0089,0.0088,0.0073,0.008,0.008,0.0079,0.006600000000000001,0.0058,0.0059,0.005600000000000001,0.0029,0.0037,0.0026000000000000003,0.0079,0.0077,0.006999999999999999,0.0067,0.0079,0.0087,0.0068000000000000005,0.0070999999999999995,0.0069,0.006600000000000001,0.0069,0.0067,0.005200000000000001,0.0026000000000000003,0.0067,0.0047,0.005600000000000001,0.008199999999999999,0.0064,0.0070999999999999995,0.0079,0.0085,0.008199999999999999,0.008100000000000001,0.0088,0.0097,0.0085,0.0079,0.0088,0.0086,0.0089,0.0088,0.0079,0.0077,0.0079,0.0073,0.010900000000000002,0.0121,0.0077,0.0067,0.0068000000000000005,0.0096,0.006600000000000001,0.0067,0.005699999999999999,0.006999999999999999,0.006,0.005699999999999999,0.0064,0.038900000000000004,BMRI
Interest Coverage (Quarter),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BMRI
Share Outstanding,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,4050000000.0,0.0,ASII
